UCLIBC_HAS_STDIO_FUTEXES,UCLIBC_HAS_CTYPE_SIGNED,UCLIBC_HAS_EPOLL,UCLIBC_HAS_CTYPE_CHECKED,UCLIBC_UCLINUX_BROKEN_MUNMAP,CONFIG_AVR32_AP7,DEVEL_PREFIX,UCLIBC_HAS_NFTW,UCLIBC_HAS_IPV4,UCLIBC_HAS_FPU,CONFIG_486,CONFIG_META_2_1,UCLIBC_HAS_XLOCALE,MALLOC_SIMPLE,UCLIBC_HAS_STDIO_BUFSIZ_NONE,UCLIBC_HAS_SCANF_LENIENT_DIGIT_GROUPING,UCLIBC_HAS_REGEX,UCLIBC_HAS_BACKTRACE,DOSTRIP,UCLIBC_BUILD_MINIMAL_LOCALES,CONFIG_OR1K,ARCH_HAS_UCONTEXT,LDSO_RUNPATH_OF_EXECUTABLE,UCLIBC_HAS_STRING_GENERIC_OPT,DOASSERTS,UCLIBC_FORMAT_FDPIC_ELF,TARGET_cris,CONFIG_ARC_PAGE_SIZE_16K,CONFIG_MIPS_N64_ABI,UCLIBC_HAS_SIGNUM_MESSAGES,ARCH_HAS_DEPRECATED_SYSCALLS,CONFIG_META_1_2,UCLIBC_HAS_GLOB,UCLIBC_HAS_TZ_FILE_READ_MANY,UCLIBC_HAS_FENV,CONFIG_ARM_EABI,TARGET_aarch64,UCLIBC_HAS_PROFILING,LDSO_PRELOAD_FILE_SUPPORT,ARCH_USE_MMU,UCLIBC_HAS_STDIO_BUFSIZ_8192,TARGET_hppa,UCLIBC_BUILD_PIE,UCLIBC_PWD_BUFFER_SIZE,TARGET_csky,UCLIBC_HAS_SHA256_CRYPT_IMPL,TARGET_x86_64,HAVE_DOT_CONFIG,TARGET_sparc,UCLIBC_LINUX_SPECIFIC,UCLIBC_HAS_ARGP,CONFIG_NDS32_PAGE_SIZE_4K,CONFIG_AARCH64_PAGE_SIZE_4K,UCLIBC_USE_MIPS_PREFETCH,UCLIBC_FORMAT_SHARED_FLAT,UCLIBC_HAS_CRYPT_STUB,TARGET_nds32,UCLIBC_FORMAT_FLAT,UCLIBC_HAS_FLOATS,ARCH_HAS_BWD_MEMCPY,CONFIG_SPARC_V8,TARGET_nios2,ARCH_HAS_NO_SHARED,UCLIBC_HAS_STDIO_BUFSIZ_1024,UCLIBC_HAS_SOCKET,LDSO_PRELOAD_ENV_SUPPORT,UCLIBC_HAS_TLS,UCLIBC_SUSV2_LEGACY,UCLIBC_HAS_UTMP,UCLIBC_HAS_WCHAR,TARGET_arm,LDSO_LD_LIBRARY_PATH,UCLIBC_HAS_LIBUTIL,UCLIBC_HAS_STDIO_BUFSIZ_4096,UCLIBC_HAS_GETPT,LDSO_NO_CLEANUP,TARGET_h8300,VERSION,CONFIG_ARC_PAGE_SIZE_4K,CONFIG_GENERIC_C6X,ASSUME_DEVPTS,CONFIG_ARC_HAS_ATOMICS,UCLIBC_GRP_BUFFER_SIZE,MALLOC,UCLIBC_HAS_SYS_SIGLIST,UCLIBC_HAS_STDIO_PUTC_MACRO,DO_XSI_MATH,TARGET_metag,TARGET_c6x,UCLIBC_HAS_STDIO_GETC_MACRO,UCLIBC_HAS_OBSOLETE_SYSV_SIGNAL,CONFIG_MIPS_O32_ABI,CONFIG_TMS320C64X,TARGET_bfin,LDSO_GNU_HASH_SUPPORT,UCLIBC_STRICT_HEADERS,UCLIBC_HAS_LFS,UCLIBC_HAS_SOFT_FLOAT,CONFIG_MIPS_NAN_LEGACY,HAVE_SHARED,SUPPORT_LD_DEBUG,LDSO_RUNPATH,WARNINGS,UCLIBC_HAS_SHA512_CRYPT_IMPL,UCLIBC_HAS_STDIO_BUILTIN_BUFFER_NONE,UCLIBC_HAS_REALTIME,UCLIBC_HAS_SYSLOG,CONFIG_TMS320C64XPLUS,KERNEL_HEADERS,LINKRELAX,TARGET_mips,UCLIBC_BUILD_RELRO,UCLIBC_HAS_XATTR,CONFIG_386,UCLIBC_CTOR_DTOR,UCLIBC_HAS_CTYPE_ENFORCED,UCLIBC_SV4_DEPRECATED,TARGET_microblaze,UCLIBC_STATIC_LDCONFIG,ARCH_HAS_NO_LDSO,UCLIBC_HAS_BSD_RES_CLOSE,TARGET_avr32,MULTILIB_DIR,UCLIBC_HAS_GETOPT_LONG,UCLIBC_HAS_ERRNO_MESSAGES,UCLIBC_HAS_TZ_CACHING,UCLIBC_HAS_SYS_ERRLIST,UCLIBC_MALLOC_DEBUGGING,UNIX98PTY_ONLY,UCLIBC_HAS_LIBINTL,UCLIBC_HAS_COMPAT_RES_STATE,UCLIBC_HAS_GLIBC_DIGIT_GROUPING,PTHREADS_DEBUG_SUPPORT,UCLIBC_HAS_EXTRA_COMPAT_RES_STATE,UCLIBC_HAS_BSD_ERR,TARGET_ia64,UCLIBC_HAS_FNMATCH,UCLIBC_HAS_STDIO_AUTO_RW_TRANSITION,CONFIG_H8S,CONFIG_E500,CONFIG_MIPS_NAN_2008,UCLIBC_HAS_FTW,UCLIBC_BUILD_NOEXECSTACK,CONFIG_SH4A,ARCH_HAS_NO_MMU,CROSS_COMPILER_PREFIX,UCLIBC_HAS_CONTEXT_FUNCS,LDSO_CACHE_SUPPORT,UCLIBC_HAS_TM_EXTENSIONS,TARGET_powerpc,LDSO_LDD_SUPPORT,CONFIG_AARCH64_PAGE_SIZE_64K,UCLIBC_HAS_STRING_ARCH_OPT,UCLIBC_SUSV3_LEGACY_MACROS,RUNTIME_PREFIX,UCLIBC_HAS_PROGRAM_INVOCATION_NAME,UCLIBC_HAS_GNU_GETOPT,CONFIG_SH3,UCLIBC_HAS_RESOLVER_SUPPORT,UCLIBC_TZ_FILE_PATH,FORCE_OPTIONS_FOR_ARCH,UCLIBC_HAS_LOCALE,TARGET_sh,UCLIBC_BUILD_NOW,ARCH_WANTS_BIG_ENDIAN,CONFIG_CRISV32,UCLIBC_BUILD_SSP,UCLIBC_HAS_UTMPX,UCLIBC_HAS_NETWORK_SUPPORT,ARCH_HAS_MMU,DODEBUG,MALLOC_STANDARD,UCLIBC_HAS_STDIO_BUILTIN_BUFFER_8,CONFIG_ARC_PAGE_SIZE_8K,UCLIBC_HAS_STDIO_BUFSIZ_512,CONFIG_686,CONFIG_AARCH64_PAGE_SIZE_16K,CONFIG_586,UCLIBC_HAS_GLIBC_CUSTOM_PRINTF,UCLIBC_HAS_IPV6,UCLIBC_SUPPORT_AI_ADDRCONFIG,UCLIBC_HAS_STDIO_BUFSIZ_256,UCLIBC_HAS_LIBICONV,TARGET_lm32,CONFIG_CLASSIC,TARGET_or1k,FORCE_SHAREABLE_TEXT_SEGMENTS,UCLIBC_BUILD_MINIMAL_LOCALE,CONFIG_SH4,UCLIBC_HAS_SHADOW,CONFIG_SH2A,UCLIBC_HAS_CTYPE_TABLES,UCLIBC_HAS_TZ_FILE,TARGET_xtensa,UCLIBC_HAS_CTYPE_UNSAFE,UCLIBC_HAS_GLIBC_CUSTOM_STREAMS,UCLIBC_HAS_SSP,USE_OLD_VFPRINTF,EXTRA_WARNINGS,UCLIBC_BUILD_ALL_LOCALE,UCLIBC_HAS_FOPEN_CLOSEEXEC_MODE,TARGET_frv,UCLIBC_SUSV3_LEGACY,UCLIBC_HAS_LINUXTHREADS,UCLIBC_HAS_FTS,DOPIC,UCLIBC_USE_NETLINK,UCLIBC_HAS_STUBS,UCLIBC_HAS_GNU_GETSUBOPT,UCLIBC_DYNAMIC_ATEXIT,UCLIBC_HAS_FOPEN_EXCLUSIVE_MODE,ARCH_BIG_ENDIAN,UCLIBC_HAS_HEXADECIMAL_FLOATS,CONFIG_MIPS_N32_ABI,UCLIBC_FORMAT_FLAT_SEP_DATA,UCLIBC_PRINTF_SCANF_POSITIONAL_ARGS,DO_C99_MATH,HAS_NO_THREADS,UCLIBC_FORMAT_DSBT_ELF,CONFIG_NDS32_PAGE_SIZE_8K,ARCH_LITTLE_ENDIAN,UCLIBC_HAS_THREADS_NATIVE,UCLIBC_HAS_ADVANCED_REALTIME,UCLIBC_HAS_WORDEXP,LDSO_SAFE_RUNPATH,UCLIBC_HAS_STDIO_BUILTIN_BUFFER_4,SSP_QUICK_CANARY,CONFIG_SH2,UCLIBC_HAS___PROGNAME,TARGET_arc,TARGET_sparc64,PROPOLICE_BLOCK_ABRT,UCLIBC_HAS_FOPEN_LARGEFILE_MODE,UCLIBC_EXTRA_CFLAGS,UCLIBC_SUSV4_LEGACY,TARGET_alpha,ARCH_ANY_ENDIAN,PROPOLICE_BLOCK_SEGV,UCLIBC_HAS_OBSOLETE_BSD_SIGNAL,CONFIG_CRIS,UCLIBC_BSD_SPECIFIC,UCLIBC_SHARED_FLAT_ID,UCLIBC_HAS_PRINTF_M_SPEC,CONFIG_SPARC_V7,LDSO_STANDALONE_SUPPORT,UCLIBC_HAS_STDIO_BUFSIZ_2048,UCLIBC_HAS_CRYPT_IMPL,LDSO_PRELINK_SUPPORT,HAVE_NO_PIC,CONFIG_H8300H,TARGET_i386,UCLIBC_HAS_GNU_GLOB,LDSO_SEARCH_INTERP_PATH,ARCH_WANTS_LITTLE_ENDIAN,DESIRED_TARGET_ARCH,UCLIBC_HAS_PTY,HARDWIRED_ABSPATH,UCLIBC_FALLBACK_TO_ETC_LOCALTIME,DODEBUG_PT,TARGET_m68k,LDSO_BASE_FILENAME,SUPPORT_LD_DEBUG_EARLY,UCLIBC_HAS_CRYPT,UCLIBC_HAS_STDIO_SHUTDOWN_ON_ABORT,UCLIBC_HAS_GNU_ERROR,UCLIBC_HAS_LONG_DOUBLE_MATH,HAVE_NO_SSP,UCLIBC_HAS_THREADS,UCLIBC_NTP_LEGACY,PERFORMANCE
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028138.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452476.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946598.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104978.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1734088.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828716.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144275660.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316860.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1613794.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249528.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246414064.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228969890.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141107550.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994542.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141377534.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892438.0
